log2FC	gene_length_kb
1093	-0.0257368363200769	0.029
1099	-0.0257368363200769	0.029
1102	0.0559108568887176	0.029
1106	-0.0310624109754455	0.029
1111	-0.0462010613121689	0.029
1116	-0.0316585201349163	0.029
1150	-0.0310624109754455	0.03
1155	-0.0257368363200769	0.03
1173	0.408520266133568	0.03
1177	0.057104468781479	0.03
1182	0.31291829963921	0.03
1195	-0.27010439548177	0.03
1253	0.0649070528560286	0.03
1260	-0.0465394211356845	0.03
1309	0.0559108568887176	0.03
1336	-0.833178865363719	0.03
1376	0.522479548154149	0.03
1396	0.440907838822819	0.03
1417	-0.0257368363200769	0.03
1508	0.0382748752630223	0.031
1513	-0.138144271941334	0.031
1540	-0.144064444928515	0.031
1541	0.122024080137005	0.031
1548	-0.0310624109754455	0.031
1558	1.24324484746441	0.031
1563	-0.072284358961148	0.031
1578	-0.109262420121216	0.031
1580	0.267508846502381	0.031
1637	-0.0257368363200769	0.031
1638	0.147625381091641	0.031
1642	0.0559108568887176	0.031
1663	-0.0316585201349163	0.031
1668	-0.0310624109754455	0.031
1685	-0.0803648629638582	0.031
1706	0.230228412474092	0.031
1735	-0.0762879245435378	0.031
1738	-0.0310624109754455	0.031
1748	-0.0257368363200769	0.031
1756	-0.0462010613121689	0.032
1759	0.0649070528560286	0.032
1760	0.00399630980602973	0.032
1762	0.0165896532946313	0.032
1767	-0.147791271528957	0.032
1806	0.0319224073533199	0.032
1816	0.0649070528560286	0.032
1827	-0.0254464165968416	0.032
1846	0.18275374373899	0.032
1863	-0.0257368363200769	0.032
1874	-0.0703116852534356	0.032
1899	0.0648929387598906	0.032
1910	-0.635445083236462	0.032
1924	-0.0316585201349163	0.032
1942	-0.1724021644709	0.033
1945	0.0359084680276045	0.033
1951	-0.218086839526435	0.033
1964	-0.15385913073445	0.033
1985	0.357556740448134	0.033
1992	-0.0254464165968416	0.033
1994	-0.0316585201349163	0.033
2003	0.527352680652218	0.033
2076	0.167974892464282	0.034
2094	-0.105781136541256	0.034
2100	-0.0254464165968416	0.034
2118	-0.606920794480482	0.034
2122	-0.224319881160785	0.034
2133	-0.268474502748214	0.034
2144	-0.0466735175318208	0.034
2166	-0.0310624109754455	0.034
2169	0.0559108568887176	0.034
2182	-0.0254464165968416	0.034
2202	0.0537804279368028	0.034
2207	-0.0254464165968416	0.034
2212	0.0649070528560286	0.034
2229	-0.151088680499296	0.034
2232	0.179242875410115	0.034
2236	-0.222421143852614	0.035
2237	-0.0257368363200769	0.035
2265	-0.0254464165968416	0.035
2278	-0.309454380990153	0.035
2283	0.02486216087793	0.035
2287	-0.0310624109754455	0.035
2296	-0.0749382936154602	0.035
2346	0.12065494512461	0.035
2347	-0.0257368363200769	0.035
2363	-0.0316585201349163	0.035
2404	-0.0310624109754455	0.036
2409	1.3002044552732	0.036
2417	-0.0749382936154602	0.036
2436	-0.0749382936154602	0.036
2437	-0.0254464165968416	0.036
2451	-0.091397666233828	0.036
2456	-0.0254464165968416	0.037
2477	0.0649070528560286	0.037
2484	-0.0254464165968416	0.037
2495	-0.0257368363200769	0.037
2504	-0.0779799616285177	0.037
2512	0.0649070528560286	0.037
2523	0.0559108568887176	0.037
2553	-0.0257368363200769	0.037
2558	-0.0114910754944671	0.037
2559	-0.0316585201349163	0.037
2564	0.243110328545425	0.038
2568	0.0559108568887176	0.038
2574	-0.0287187212373878	0.038
2581	0.0559108568887176	0.038
2582	-0.0257368363200769	0.038
2591	-0.0257368363200769	0.038
2597	-0.0637101654308474	0.038
2617	-0.0310624109754455	0.038
2630	0.0649070528560286	0.038
2631	0.0649070528560286	0.038
2635	-0.0937758176351614	0.038
2637	-0.0310624109754455	0.038
2644	0.352133314624487	0.038
2655	-0.0681039140681482	0.039
2660	0.0649070528560286	0.039
2667	-0.0257368363200769	0.039
2685	0.0607187096919204	0.039
2689	-0.0358280359915471	0.039
2700	-0.0681039140681482	0.039
2730	-0.0466735175318208	0.039
2735	0.0300890021630316	0.039
2755	-0.0254464165968416	0.039
2756	-0.268769597108811	0.039
2757	-0.784914676024045	0.04
2758	0.141777263775003	0.04
2759	-0.0809376910991174	0.04
2800	0.0649070528560286	0.04
2817	-0.12779261458177	0.04
2835	-0.0803648629638582	0.041
2836	0.233804008114071	0.041
2837	0.414856667468198	0.041
2839	0.0304909346975084	0.041
2854	-0.0257368363200769	0.041
2870	-0.385804170144937	0.041
2883	-0.0254464165968416	0.041
2888	-0.120062960552719	0.041
2891	-0.0254464165968416	0.041
2896	0.883187733945668	0.041
2911	0.0836799495823171	0.042
2915	-0.107958418113734	0.042
2916	-0.114322385461772	0.042
2917	-0.420856879660295	0.042
2925	-0.340709255181247	0.042
2927	-0.0257368363200769	0.042
2931	-0.0742594669396823	0.042
2947	-0.0257368363200769	0.042
2964	-0.0257368363200769	0.042
2989	-0.0310624109754455	0.042
3000	-0.435965110592939	0.043
3020	-0.0742594669396823	0.043
3029	-0.0254464165968416	0.043
3057	-0.0510872182460879	0.043
3067	-0.229590130994432	0.043
3077	-0.0746155788871964	0.044
3106	0.0737312681320999	0.044
3112	-0.0257368363200769	0.045
3113	0.0245155023974064	0.045
3114	-0.256087395482781	0.045
3116	-0.0692498365079304	0.045
3118	-0.00274083355972487	0.045
3121	-0.271948552977273	0.045
3157	-0.536829520530509	0.045
3158	-0.661654263642881	0.045
3164	-0.206069141608293	0.046
3165	0.0649070528560286	0.046
3177	-0.0257368363200769	0.046
3195	0.153952856609375	0.046
3226	-0.0244937762406683	0.047
3227	-0.0254464165968416	0.047
3239	-0.828225566300486	0.047
3253	-0.0316585201349163	0.047
3254	0.0559108568887176	0.047
3261	-0.21650119356114	0.047
3286	0.147836332028188	0.048
3309	-0.0257368363200769	0.048
3334	0.227710143304372	0.048
3335	0.366322721413759	0.048
3337	-0.0316585201349163	0.049
3338	-0.0746155788871964	0.049
3339	-0.14885324535944	0.049
3341	0.0649070528560286	0.049
3347	-0.0257368363200769	0.049
3350	-0.0254464165968416	0.049
3353	-0.127291425876992	0.049
3369	-0.0254464165968416	0.049
3380	-0.288689498702676	0.05
3406	-0.0254464165968416	0.05
3427	-0.0257368363200769	0.05
3432	-0.0254464165968416	0.05
3438	0.0300890021630316	0.05
3441	-0.0257368363200769	0.051
3454	-0.0254464165968416	0.051
3487	-0.0132762576785862	0.052
3494	-0.0739595323809396	0.052
3508	-0.0316585201349163	0.052
3510	-0.0310624109754455	0.052
3512	-0.0254464165968416	0.052
3547	0.194473454048509	0.053
3587	0.0325456609668968	0.054
3588	-0.140165033884219	0.054
3601	0.0649070528560286	0.054
3621	0.0286897528421528	0.054
3627	0.243369212949926	0.054
3629	0.0559108568887176	0.054
3631	-0.0254464165968416	0.055
3636	0.170019108026384	0.055
3644	0.0175592301343009	0.055
3657	-0.0254464165968416	0.055
3661	0.12065494512461	0.055
3673	-0.0443626954754102	0.055
3680	-0.434749117587126	0.056
3684	-0.0462010613121689	0.056
3693	-0.104065735639468	0.056
3694	0.0559108568887176	0.056
3733	0.0385974830465193	0.057
3751	-0.0310624109754455	0.057
3780	0.072012488029797	0.057
3793	-0.0937758176351614	0.058
3803	0.0559108568887176	0.058
3814	-0.0257368363200769	0.058
3830	-0.0803648629638582	0.058
3844	-0.192013910217946	0.059
3845	-0.0257368363200769	0.059
3861	-0.0551917490617952	0.059
3866	-0.0310624109754455	0.059
3873	0.0559108568887176	0.059
3874	-0.0310624109754455	0.059
3875	0.0649070528560286	0.059
3879	-0.0466735175318208	0.059
3896	-0.0254464165968416	0.059
3903	0.0559108568887176	0.06
3904	-0.311556106276773	0.06
3905	-0.00240911057821166	0.06
3908	-0.0310624109754455	0.06
3930	0.161399502861181	0.06
3935	-0.0257368363200769	0.06
3937	-0.0937758176351614	0.06
3965	-0.128363490554622	0.06
3994	-0.297227282160524	0.061
4015	-0.0208340573489679	0.061
4029	0.0382748752630223	0.062
4058	0.0559108568887176	0.062
4061	-0.0742594669396823	0.062
4082	-0.225236491378809	0.062
4091	-0.131862978566694	0.063
4119	0.328328741841764	0.063
4149	-0.108509428640753	0.063
4152	0.0130374715755506	0.064
4153	0.387563067247837	0.064
4155	-0.213646792877203	0.064
4156	-0.0257368363200769	0.064
4185	-0.0254464165968416	0.064
4189	-0.0357851929574857	0.064
4191	0.0649070528560286	0.064
4216	0.0649070528560286	0.065
4221	-0.0257368363200769	0.065
4239	-0.0746155788871964	0.065
4249	0.0382748752630223	0.065
4251	-0.0466735175318208	0.065
4277	-0.0254464165968416	0.066
4291	0.0227296856262899	0.066
4292	-0.381897093984927	0.066
4332	0.0300890021630316	0.067
4333	0.093761184411899	0.067
4341	-0.0254464165968416	0.067
4369	0.0600029361165974	0.068
4379	0.0559108568887176	0.068
4386	-0.0257368363200769	0.068
4416	-0.0551917490617952	0.069
4447	-0.0257368363200769	0.069
4451	-0.0681039140681482	0.07
4466	0.535126648618831	0.07
4469	-0.0257368363200769	0.07
4470	0.108450212128092	0.07
4485	-0.0561323722860919	0.071
4493	-0.0310624109754455	0.071
4507	0.00994014853549142	0.071
4508	-0.0928076101110476	0.071
4521	0.296021141393998	0.071
4523	0.00244669059166368	0.071
4524	0.132303528363904	0.071
4525	0.0382748752630223	0.071
4526	0.144409439604219	0.071
4527	-0.132412312725966	0.072
4541	-0.0257368363200769	0.072
4545	-0.126613814772009	0.072
4546	-0.0257368363200769	0.072
4565	0.0384311159084834	0.072
4566	0.0649070528560286	0.072
4567	-0.10280310164275	0.072
4568	-0.0310624109754455	0.072
4600	-0.0561323722860919	0.073
4609	-0.0254464165968416	0.073
4610	0.419769505098485	0.073
4611	-0.0928076101110476	0.073
4612	0.420679006055022	0.073
4634	-0.0257368363200769	0.074
4654	-0.232636920906183	0.074
4666	-0.0257368363200769	0.075
4667	-0.0257368363200769	0.075
4676	-0.0254464165968416	0.075
4680	0.0649070528560286	0.075
4683	-0.0630008360188376	0.075
4699	-0.0310624109754455	0.076
4707	0.222596824263254	0.076
4734	-0.0412605732996737	0.077
4738	-0.0254464165968416	0.077
4769	-0.20263512874709	0.078
4782	-0.0316585201349163	0.078
4795	-0.0310624109754455	0.078
4803	0.117345512614978	0.079
4814	0.123188769311813	0.079
4820	-0.0681039140681482	0.079
4828	-0.16444398841331	0.079
4860	0.0632748327182232	0.08
4870	-0.0254464165968416	0.08
4883	-0.259542006296463	0.081
4884	-0.0803648629638582	0.081
4888	-0.0310624109754455	0.081
4890	0.0320641556741459	0.081
4893	-0.0257368363200769	0.081
4903	-0.0316585201349163	0.081
4928	-0.0272038060572505	0.082
4940	0.0223550151542936	0.082
4948	-0.099217137670205	0.082
4962	-0.0749134012176911	0.083
4979	0.0649070528560286	0.084
4988	-0.0551917490617952	0.084
4998	0.159057381228734	0.084
5011	0.0646416069506072	0.084
5013	0.0304013442366446	0.085
5016	-0.0749134012176911	0.085
5019	-0.0749382936154602	0.085
5032	-0.00347331410025833	0.085
5046	0.0559108568887176	0.086
5055	-0.0254464165968416	0.086
5062	0.242188267364834	0.086
5081	0.0649070528560286	0.087
5083	-0.122297977857264	0.087
5085	0.0649070528560286	0.087
5098	0.0382748752630223	0.088
5099	-0.0310624109754455	0.088
5102	-0.162091865877934	0.088
5103	-0.100616153216256	0.088
5115	0.200711055202688	0.088
5117	-0.1724021644709	0.089
5130	-0.0382750970858952	0.089
5140	-0.0316585201349163	0.089
5149	-0.211275015423107	0.09
5150	-0.439247934316487	0.09
5154	-0.0928076101110476	0.09
5156	-0.164580603991551	0.09
5175	4.38832584181665e-05	0.091
5177	0.52342955685104	0.091
5183	-0.0681039140681482	0.091
5189	0.149460576930814	0.092
5200	-0.0466735175318208	0.092
5202	0.0810529371489578	0.092
5212	-0.128928156441093	0.093
5214	0.227347345984005	0.093
5218	-0.707478777222575	0.093
5220	0.140887620044718	0.093
5223	0.331039385580429	0.094
5232	-0.20334660421944	0.094
5238	-0.0257368363200769	0.094
5239	-0.0877722732252024	0.094
5252	-0.0419370995240938	0.095
5253	0.436144167192978	0.095
5256	-0.132678283582152	0.095
5259	0.29788789266444	0.095
5262	0.318523336182459	0.095
5272	-0.315690812872809	0.096
5274	0.0300890021630316	0.096
5275	-0.0257368363200769	0.096
5276	0.0955563380827132	0.096
5304	-0.126873598302756	0.097
5312	0.0325456609668968	0.098
5329	-0.0462010613121689	0.099
5331	-0.0257368363200769	0.099
5332	-0.242921857801627	0.099
5335	-0.0257368363200769	0.099
5343	-0.0466735175318208	0.1
5344	-0.0681039140681482	0.1
5359	-0.0254464165968416	0.101
5360	0.12065494512461	0.101
5368	0.745266720384005	0.102
5375	0.051960427291915	0.103
5376	0.0382748752630223	0.103
5386	0.519087671224107	0.104
5394	0.343178506570598	0.105
5405	-0.0257368363200769	0.106
5417	0.194596083689892	0.106
5434	-0.315515666173464	0.107
5451	0.270865259533969	0.108
5458	-0.0254464165968416	0.108
5464	0.48758129739055	0.108
5475	-0.162340459640938	0.109
5479	0.0130374715755506	0.109
5497	-0.0765828823004355	0.11
5507	0.26605029083803	0.112
5522	-0.0236908892982306	0.113
5527	0.0959617823983028	0.114
5531	-0.0310624109754455	0.115
5533	-0.0310624109754455	0.115
5534	0.184395154548606	0.115
5537	-0.302818646920366	0.116
5539	-0.153017747538641	0.116
5560	0.0559108568887176	0.118
5562	-0.265634116779031	0.118
5573	0.466903581240116	0.12
5580	-0.096587229212241	0.12
5588	-0.171266795073049	0.121
5599	0.118652500119481	0.122
5600	0.72461323166667	0.122
5608	-0.167923058640182	0.124
5613	0.215203143024558	0.125
5619	-0.0681039140681482	0.126
5626	-0.208785260762958	0.128
5635	-0.0254464165968416	0.129
5639	0.0559108568887176	0.13
5641	0.080594297521546	0.131
5646	-0.401992324124861	0.132
5660	-0.255953625265443	0.138
5665	0.221577202213954	0.139
5677	-0.0937758176351614	0.144
5681	0.767826165288444	0.146
5682	0.766878475479848	0.146
5686	0.176654462981161	0.149
5690	0.320795468908746	0.154
5691	-0.0983980809440487	0.154
5692	-0.546268220226462	0.154
5710	-0.1264400176793	0.171
5715	-0.18250758014917	0.175
5722	0.116994915344851	0.179
5727	0.400904369135553	0.185
5730	0.101274443046008	0.188
5732	0.0382748752630223	0.19
5738	-0.20177257033224	0.194
5740	-0.00715866431135425	0.196
5748	-0.0257368363200769	0.207
5749	-0.114042316593121	0.207
5753	0.179556844339561	0.212
5754	-0.0257368363200769	0.213
5758	-0.453171513087092	0.217
5761	0.0649070528560286	0.22
5763	0.380690026689014	0.221
5764	-0.0462010613121689	0.222
5765	-0.11014501338786	0.222
5766	-0.0316585201349163	0.224
5768	0.434784535554492	0.228
5775	0.622224000184352	0.231
5777	0.541866247797747	0.232
5778	0.116464957626558	0.232
5781	0.0649070528560286	0.234
5789	0.205570743863627	0.243
5796	0.213501006947945	0.249
5798	0.0413210449636682	0.251
5800	0.61091754296905	0.254
5801	0.347369109023587	0.258
5803	0.0649070528560286	0.26
5804	0.508797463276537	0.26
5805	0.513223415833167	0.26
5807	0.893638393499059	0.262
5808	-0.172672175337841	0.263
5812	-0.260203226663285	0.268
5813	0.862850846086004	0.268
5815	-0.0858625210182179	0.271
5818	0.0167655707454393	0.274
5821	-0.194532822295676	0.275
5824	-0.104903855162448	0.278
5826	0.278528863616737	0.28
5828	-0.15806919684786	0.282
5834	0.37518640993029	0.291
5836	-0.00188061457014185	0.293
5843	-0.180771037331851	0.3
5844	0.699562893260713	0.301
5847	0.198883117148054	0.304
5848	0.227296967719145	0.304
5849	0.391762969489155	0.308
5850	0.0963540149206158	0.309
5852	-0.0337148129250025	0.311
5853	-0.0257368363200769	0.311
5854	-0.0449907541714109	0.311
5855	0.654752889179403	0.311
5856	0.165526137368027	0.311
5857	0.811955829551138	0.311
5858	1.02699321462681	0.311
5859	-0.0739595323809396	0.311
5865	0.57440382970913	0.318
5867	0.00361234380980878	0.318
5869	-0.231530598534473	0.323
5870	0.116846748135994	0.323
5871	-0.0428636514984738	0.324
5872	-0.124217459920149	0.326
5873	0.0239062553038353	0.326
5876	0.0804248840399021	0.333
5877	0.136728713609873	0.333
5878	-0.0257368363200769	0.335
5881	0.476944630899266	0.338
5884	0.288320179842386	0.344
5885	0.193473280589988	0.344
5891	-0.158625923218486	0.347
5893	0.00512367766735481	0.349
5894	-0.413368780581468	0.352
5896	0.0489455375457487	0.357
5897	0.159856264636178	0.359
5905	0.145368190592522	0.367
5906	-0.0254464165968416	0.367
5907	0.577418980192176	0.369
5908	0.694827445765263	0.369
5909	-0.0856220302092922	0.369
5910	0.694889453644144	0.371
5913	-0.224425005343955	0.373
5914	0.286220351301248	0.375
5917	0.0681084647659907	0.376
5918	0.0124989988671125	0.379
5920	0.513034218232735	0.38
5924	-0.0275394520661089	0.38
5925	0.579893923499991	0.38
5926	-0.0987148789678671	0.38
5927	-0.187403834321259	0.38
5928	0.0373776318869127	0.38
5929	0.00624506597228974	0.38
5930	0.256600860203004	0.38
5931	-0.0463345459560126	0.38
5932	-0.218929358055868	0.381
5933	-0.169448495406179	0.381
5937	0.296710840256322	0.384
5939	-0.0257368363200769	0.385
5940	0.613304615837993	0.385
5941	-0.0257368363200769	0.386
5942	0.558365033789895	0.386
5947	0.696024756385132	0.389
5950	0.51404865189129	0.39
5952	0.0290592295736463	0.392
5953	-0.423627430914248	0.392
5955	0.826440775366626	0.392
5957	0.356817470122451	0.395
5958	0.0359116124127816	0.395
5962	-0.0316585201349163	0.396
5965	0.0720069203731612	0.397
5967	-0.0254464165968416	0.398
5968	0.709330142352184	0.398
5970	0.681606351903973	0.399
5974	0.0209987286255646	0.402
5975	0.113319794992506	0.404
5976	1.22864462882899	0.405
5977	0.375502567280859	0.405
5979	0.355765571922754	0.408
5981	0.338464857062864	0.408
5982	-0.099217137670205	0.408
5983	0.29077293319	0.409
5984	0.581743738280944	0.409
5985	0.170286672114519	0.41
5986	-0.0254464165968416	0.41
5988	-0.00806237419013411	0.41
5989	0.0335863258175768	0.41
5991	0.771964604203302	0.412
5993	-0.0257368363200769	0.413
5995	0.13530231467847	0.414
5996	0.0404671087713695	0.414
5998	-0.234977085003513	0.419
5999	0.105082138680905	0.42
6003	-0.189699370810556	0.423
6005	-0.0447065394099793	0.425
6007	0.032791336079234	0.43
6011	-0.15025628851638	0.433
6012	-0.0257368363200769	0.433
6014	0.100472683782262	0.434
6017	-0.480947891251551	0.437
6019	0.0333711959743456	0.438
6021	-0.294844146578713	0.443
6023	-0.180273148281033	0.449
6026	-0.109153870334885	0.453
6029	0.368833919913969	0.458
6032	0.36243069674921	0.462
6034	0.0854233467857717	0.463
6035	0.546586504051119	0.464
6040	-0.161939638873335	0.467
6042	-0.0672531438721684	0.467
6044	-0.278094459412349	0.468
6053	0.347758268167734	0.477
6055	0.00361234380980878	0.479
6056	-0.0945482301121952	0.481
6058	0.0332425897315199	0.482
6065	-0.280826062405881	0.492
6068	0.0673214135912983	0.493
6076	0.126617067623137	0.505
6077	-0.0937758176351614	0.507
6078	-0.163277975939317	0.508
6082	0.310507364675166	0.513
6093	-0.0742594669396823	0.524
6102	0.528237148183638	0.531
6104	0.423670722908428	0.533
6107	0.738816421576142	0.536
6109	0.614673308106877	0.542
6111	-0.339169454993438	0.542
6118	-0.0784308764726173	0.549
6120	-0.0316585201349163	0.551
6125	-0.173008915179209	0.554
6126	-0.147892302730756	0.555
6127	0.204827819593571	0.556
6128	-0.779035209688174	0.557
6132	0.333004668812409	0.561
6136	-0.250606286979578	0.568
6137	-0.603198253234313	0.569
6146	-0.0257368363200769	0.572
6152	0.433081439384237	0.585
6153	0.269668201179423	0.585
6154	0.740164030625428	0.586
6156	0.0559108568887176	0.587
